sdz2021_code,statistic,value
N21000070,"Education, Skills and Training Domain (Rank)",327
N21000070,Access to Services Domain (Rank),650
N21000071,Multiple Deprivation Measure (Rank),131
N21000071,Income Domain (Rank),81
N21000071,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,774
N21000071,Employment Domain (18-64 years) (Rank),145
N21000071,Proportion of the working age population who are employment deprived,668
N21000071,Health Deprivation and Disability Domain (Rank),155
N21000071,"Education, Skills and Training Domain (Rank)",175
N21000071,Access to Services Domain (Rank),622
N21000072,Multiple Deprivation Measure (Rank),477
N21000072,Income Domain (Rank),306
N21000072,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,497
N21000072,Employment Domain (18-64 years) (Rank),629
N21000072,Proportion of the working age population who are employment deprived,184
N21000072,Health Deprivation and Disability Domain (Rank),611
N21000072,"Education, Skills and Training Domain (Rank)",708
N21000072,Access to Services Domain (Rank),38
N21000073,Multiple Deprivation Measure (Rank),211
N21000073,Income Domain (Rank),171
N21000073,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,700
N21000073,Employment Domain (18-64 years) (Rank),193
N21000073,Proportion of the working age population who are employment deprived,627
N21000073,Health Deprivation and Disability Domain (Rank),229
N21000073,"Education, Skills and Training Domain (Rank)",248
N21000073,Access to Services Domain (Rank),665
N21000074,Multiple Deprivation Measure (Rank),366
N21000074,Income Domain (Rank),276
N21000074,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,609
N21000074,Employment Domain (18-64 years) (Rank),306
N21000074,Proportion of the working age population who are employment deprived,545
N21000074,Health Deprivation and Disability Domain (Rank),311
N21000074,"Education, Skills and Training Domain (Rank)",419
N21000074,Access to Services Domain (Rank),592
N21000075,Multiple Deprivation Measure (Rank),595
N21000075,Income Domain (Rank),501
N21000075,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,377
N21000075,Employment Domain (18-64 years) (Rank),522
N21000075,Proportion of the working age population who are employment deprived,356
N21000075,Health Deprivation and Disability Domain (Rank),547
N21000075,"Education, Skills and Training Domain (Rank)",605
N21000075,Access to Services Domain (Rank),408
N21000076,Multiple Deprivation Measure (Rank),438
N21000076,Income Domain (Rank),257
N21000076,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,593
N21000076,Employment Domain (18-64 years) (Rank),530
N21000076,Proportion of the working age population who are employment deprived,360
N21000076,Health Deprivation and Disability Domain (Rank),481
N21000076,"Education, Skills and Training Domain (Rank)",642
N21000076,Access to Services Domain (Rank),244
N21000077,Multiple Deprivation Measure (Rank),177
N21000077,Income Domain (Rank),23
N21000077,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,814
N21000077,Employment Domain (18-64 years) (Rank),351
N21000077,Proportion of the working age population who are employment deprived,451
N21000077,Health Deprivation and Disability Domain (Rank),568
N21000077,"Education, Skills and Training Domain (Rank)",599
N21000077,Access to Services Domain (Rank),126
N21000078,Multiple Deprivation Measure (Rank),192
N21000078,Income Domain (Rank),26
N21000078,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,816
N21000078,Employment Domain (18-64 years) (Rank),365
N21000078,Proportion of the working age population who are employment deprived,456
N21000078,Health Deprivation and Disability Domain (Rank),497
N21000078,"Education, Skills and Training Domain (Rank)",522
N21000078,Access to Services Domain (Rank),148
N21000079,Multiple Deprivation Measure (Rank),520
N21000079,Income Domain (Rank),401
N21000079,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,378
N21000079,Employment Domain (18-64 years) (Rank),561
N21000079,Proportion of the working age population who are employment deprived,233
N21000079,Health Deprivation and Disability Domain (Rank),584
N21000079,"Education, Skills and Training Domain (Rank)",667
N21000079,Access to Services Domain (Rank),26
N21000080,Multiple Deprivation Measure (Rank),551
N21000080,Income Domain (Rank),390
N21000080,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,424
N21000080,Employment Domain (18-64 years) (Rank),631
N21000080,Proportion of the working age population who are employment deprived,212
N21000080,Health Deprivation and Disability Domain (Rank),663
N21000080,"Education, Skills and Training Domain (Rank)",539
N21000080,Access to Services Domain (Rank),115
N21000081,Multiple Deprivation Measure (Rank),99
N21000081,Income Domain (Rank),101
N21000081,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,747
N21000081,Employment Domain (18-64 years) (Rank),118
N21000081,Proportion of the working age population who are employment deprived,712
N21000081,Health Deprivation and Disability Domain (Rank),112
N21000081,"Education, Skills and Training Domain (Rank)",62
N21000081,Access to Services Domain (Rank),492
N21000082,Multiple Deprivation Measure (Rank),97
N21000082,Income Domain (Rank),67
N21000082,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,765
N21000082,Employment Domain (18-64 years) (Rank),125
N21000082,Proportion of the working age population who are employment deprived,709
N21000082,Health Deprivation and Disability Domain (Rank),123
N21000082,"Education, Skills and Training Domain (Rank)",87
N21000082,Access to Services Domain (Rank),506
N21000083,Multiple Deprivation Measure (Rank),71
N21000083,Income Domain (Rank),42
N21000083,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,807
N21000083,Employment Domain (18-64 years) (Rank),105
N21000083,Proportion of the working age population who are employment deprived,723
N21000083,Health Deprivation and Disability Domain (Rank),117
N21000083,"Education, Skills and Training Domain (Rank)",28
N21000083,Access to Services Domain (Rank),556
N21000084,Multiple Deprivation Measure (Rank),327
N21000084,Income Domain (Rank),315
N21000084,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,532
N21000084,Employment Domain (18-64 years) (Rank),328
N21000084,Proportion of the working age population who are employment deprived,502
N21000084,Health Deprivation and Disability Domain (Rank),288
N21000084,"Education, Skills and Training Domain (Rank)",240
N21000084,Access to Services Domain (Rank),623
N21000085,Multiple Deprivation Measure (Rank),80
N21000085,Income Domain (Rank),41
N21000085,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,791
N21000085,Employment Domain (18-64 years) (Rank),153
N21000085,Proportion of the working age population who are employment deprived,660
N21000085,Health Deprivation and Disability Domain (Rank),137
N21000085,"Education, Skills and Training Domain (Rank)",33
N21000085,Access to Services Domain (Rank),593
N21000086,Multiple Deprivation Measure (Rank),590
N21000086,Income Domain (Rank),588
N21000086,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,272
N21000086,Employment Domain (18-64 years) (Rank),437
N21000086,Proportion of the working age population who are employment deprived,420
N21000086,Health Deprivation and Disability Domain (Rank),357
N21000086,"Education, Skills and Training Domain (Rank)",426
N21000086,Access to Services Domain (Rank),545
N21000087,Multiple Deprivation Measure (Rank),559
N21000087,Income Domain (Rank),342
N21000087,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,464
N21000087,Employment Domain (18-64 years) (Rank),681
N21000087,Proportion of the working age population who are employment deprived,148
N21000087,Health Deprivation and Disability Domain (Rank),653
N21000087,"Education, Skills and Training Domain (Rank)",737
N21000087,Access to Services Domain (Rank),41
